export,python_test_reference,r_test_reference
summarize_gazepoint_eventlocked_multimodal,True,True
summarize_gazepoint_export_inventory,True,True
summarize_gazepoint_feature_coverage,True,True
summarize_gazepoint_fixations,True,True
summarize_gazepoint_fixations_by_aoi,True,True
summarize_gazepoint_missingness,True,True
summarize_gazepoint_nonwear,True,True
summarize_gazepoint_preregistration_readiness,True,True
summarize_gazepoint_pupil_events,True,True
summarize_gazepoint_qc_overview,True,True
summarize_gazepoint_scanpath_metrics,True,True
summarize_gazepoint_scr_recovery,True,True
summarize_gazepoint_signal_quality,True,True
summarize_gazepoint_time_clusters,True,True
summarize_gazepoint_tracking,True,True
sync_gazepoint_biometrics_with_gaze,True,True
sync_gazepoint_signals_via_lsl,True,True
test_gazepoint_hrv_nonlinearity,True,True
trim_gazepoint_biometrics_pspm_style,True,True
upsample_gazepoint_data,True,True
validate_gazepoint_biometrics,True,True
validate_gazepoint_format,True,True
validate_gazepoint_gaze,True,True
validate_gazepoint_metadata,True,True
write_gazepoint_biometrics_report_tables,True,True
write_gazepoint_decision_log,True,True
write_gazepoint_export_profile,True,True
write_gazepoint_interoperability_audit,True,True
write_gazepoint_mne_fif,True,True
write_gazepoint_real_data_smoke,True,True
